Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L20,%439,Softmax,1,12,768,768,NA,NA,NA,NA,NA,NA,NA,NA,8,1,12,768,768,Softmax_465_106,NA,NA,NA,NA,NA
L21,%443,MatMul,1,12,768,768,1,12,768,64,NA,NA,NA,NA,8,1,12,768,64,MatMul_466,NA,NA,NA,NA,NA
L22,%446,Gemm,768,768,NA,NA,768,768,NA,NA,768,NA,NA,NA,8,768,768,NA,NA,Gemm_507,NA,NA,NA,NA,NA
L23,%448,Add,1,768,768,NA,1,768,768,NA,NA,NA,NA,NA,8,1,768,768,NA,Add_512,NA,NA,NA,NA,NA
L24,%Y_6,LayerNormalization,1,768,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,768,768,NA,Add_523_80,NA,NA,NA,NA,NA
L25,%450,Gemm,768,768,NA,NA,768,3072,NA,NA,3072,NA,NA,NA,8,768,3072,NA,NA,Gemm_539,NA,NA,NA,NA,NA
L26,%452,Gelu,1,768,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,768,3072,NA,Mul_556_19,NA,NA,NA,NA,NA
L27,%454,Gemm,768,3072,NA,NA,3072,768,NA,NA,768,NA,NA,NA,8,768,768,NA,NA,Gemm_572,NA,NA,NA,NA,NA
L28,%456,Add,1,768,768,NA,1,768,768,NA,NA,NA,NA,NA,8,1,768,768,NA,Add_577,NA,NA,NA,NA,NA
L29,%Y_9,LayerNormalization,1,768,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,768,768,NA,Add_588_105,NA,NA,NA,NA,NA
L30,%458,Gemm,768,768,NA,NA,768,2304,NA,NA,2304,NA,NA,NA,8,768,2304,NA,NA,Gemm_604,NA,NA,NA,NA,NA
L31,%466,MatMul,1,12,768,64,1,12,64,768,NA,NA,NA,NA,8,1,12,768,768,MatMul_684,NA,NA,NA,NA,NA
L32,%469,Add,1,12,768,768,1,1,1,768,NA,NA,NA,NA,8,1,12,768,768,Add_709,NA,NA,NA,NA,NA
L33,%470,Softmax,1,12,768,768,NA,NA,NA,NA,NA,NA,NA,NA,8,1,12,768,768,Softmax_710_81,NA,NA,NA,NA,NA
L34,%474,MatMul,1,12,768,768,1,12,768,64,NA,NA,NA,NA,8,1,12,768,64,MatMul_711,NA,NA,NA,NA,NA
L35,%477,Gemm,768,768,NA,NA,768,768,NA,NA,768,NA,NA,NA,8,768,768,NA,NA,Gemm_752,NA,NA,NA,NA,NA
L36,%479,Add,1,768,768,NA,1,768,768,NA,NA,NA,NA,NA,8,1,768,768,NA,Add_757,NA,NA,NA,NA,NA
L37,%Y_12,LayerNormalization,1,768,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,768,768,NA,Add_768_99,NA,NA,NA,NA,NA
L38,%481,Gemm,768,768,NA,NA,768,3072,NA,NA,3072,NA,NA,NA,8,768,3072,NA,NA,Gemm_784,NA,NA,NA,NA,NA
L39,%483,Gelu,1,768,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,768,3072,NA,Mul_801_52,NA,NA,NA,NA,NA
L40,%485,Gemm,768,3072,NA,NA,3072,768,NA,NA,768,NA,NA,NA,8,768,768,NA,NA,Gemm_817,NA,NA,NA,NA,NA
L41,%487,Add,1,768,768,NA,1,768,768,NA,NA,NA,NA,NA,8,1,768,768,NA,Add_822,NA,NA,NA,NA,NA
L42,%Y_15,LayerNormalization,1,768,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,768,768,NA,Add_833_61,NA,NA,NA,NA,NA
L43,%489,Gemm,768,768,NA,NA,768,2304,NA,NA,2304,NA,NA,NA,8,768,2304,NA,NA,Gemm_849,NA,NA,NA,NA,NA
L44,%497,MatMul,1,12,768,64,1,12,64,768,NA,NA,NA,NA,8,1,12,768,768,MatMul_929,NA,NA,NA,NA,NA
L45,%500,Add,1,12,768,768,1,1,1,768,NA,NA,NA,NA,8,1,12,768,768,Add_954,NA,NA,NA,NA,NA
